Type_of_client;Age;Gender;Favorite_batter;Favorite_filling;Favorite_frosting;More_toppings;Topping_examples;Configuration;Frequency_of_buying;Occasion;Interest_in_seasonality;Seasonal_option;Product_type;Willingness_to_pay
Adult;55.0;Masculine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Slice;Daily;Celebration;Yes;Halloween;Slice;3.80 €
Adult;49.0;Feminine;Red Velvet;Lemon curd;Cream cheese frosting;No;None;Wedding cake;Daily;Work event;No;None;Wedding cake;40.10 €
Adult;39.0;Masculine;Lemon;Lemon curd;Ganache;No;None;Slice;Weekly;Celebration;No;None;Slice;3.20 €
Kid;17.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;No;None;Slice;Daily;Snack;Yes;Christmas;Slice;2.20 €
Adult;54.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;38.70 €
Adult;29.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;Yes;Fruits;Slice;Daily;Wedding;Yes;;Slice;3.30 €
Adult;43.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Wedding;No;None;Whole cake;22.60 €
Kid;14.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Slice;Weekly;Celebration;No;None;Slice;1.90 €
Adult;21.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Weekly;Gathering;No;;Wedding cake;72.20 €
Adult;26.0;Fem;Red Velvet;Dulce de leche;Cream cheese frosting;No;None;Slice;Daily;Wedding;Yes;Valentine's Day;Slice;2.90 €
Adult;37.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;Yes;Chocolate chips;Slice;Daily;Gathering;Yes;Easter;Slice;4.20 €
Kid;15.0;Feminine;;True;Whipped cream;No;None;Cupcake;Daily;Snack;Yes;Halloween;Cupcake;1.10 €
Kid;16.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Slice;Monthly;Birthday;Yes;Christmas;Slice;3.50 €
Kid;5.0;Masculine;Chocolate;Chocolate ganache;Buttercream;Yes;Nuts;Cupcake;Weekly;Celebration;No;None;Cupcake;3.70 €
;59.0;Feminine;Red Velvet;Lemon curd;Cream cheese frosting;Yes;Nuts;Slice;Sporadic;Celebration;No;;Slice;1.00 €
Adult;33.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Whole cake;Monthly;Gathering;Yes;Christmas;Whole cake;17.60 €
Adult;25.0;Feminine;Carrot;Lemon curd;Chocolate glaze;Yes;Nuts;Slice;Daily;Gathering;No;None;Slice;4.20 €
Kid;12.0;Masculine;Red Velvt;Chocolate ganache;Chocolate glaze;Yes;Fruits;Slice;Monthly;Celebration;No;None;Slice;1.90 €
Adult;50.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Work event;Yes;Halloween;Whole cake;31.20 €
Adult;51.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Slice;Weekly;Wedding;No;None;Slice;4.40 €
Adult;33.0;Feminine;Carrot;Cream cheese;Ganache;Yes;Sprinkles;Wedding cake;Daily;Wedding;No;None;Wedding cake;93.00 €
Kid;15.0;Masculine;Red Velvet;Chocolate ganache;Buttercream;No;None;Slice;Weekly;Birthday;No;None;Slice;3.30 €
Adult;48.0;Masculine;Red Velvet;Cream cheese;Chocolate glaze;No;None;Slice;Daily;Gathering;No;None;Slice;3.20 €
Adult;46.0;Feminine;Red Velvet;Dulce de leche;Chocolate glaze;;Nuts;Wedding cake;Daily;Gathering;Yes;Halloween;Wedding cake;49.90 €
Adult;30.0;Masculine;Red Velvet;Cream cheese;Ganache;Yes;Nuts;Whole cake;Weekly;Gathering;No;None;Whole cake;10.90 €
Adult;30.0;Feminine;Carrot;Dulce de leche;Chocolate glaze;No;None;Whole cake;Daily;Wedding;No;None;Whole cake;30.90 €
Adult;60.0;Masculine;Lemon;Lemon curd;Chocolate glaze;No;None;Wedding cake;Weekly;Wedding;No;None;Wedding cake;84.50 €
Adult;32.0;Feminine;Carrot;Lemon curd;Ganache;No;None;Slice;Daily;Gathering;No;None;Slice;1.40 €
Adult;23.0;Feminine;;Dulce de leche;Ganache;No;None;Wedding cake;Daily;Wedding;No;None;Wedding cake;46.00 €
Adult;24.0;Masculine;Lemon;Dulce de leche;Ganache;No;None;Wedding cake;Weekly;Gathering;Yes;Christmas;Wedding cake;49.80 €
Adult;36.0;Masculine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Slice;Daily;Work event;Yes;Fall;Slice;2.80 €
Adult;33.0;Feminine;Lemon;Lemon curd;Cream cheese frosting;No;None;Wedding cake;Sporadic;Wedding;No;;Wedding cake;47.40 €
Kid;6.0;Feminine;Chocolate;Chocolate ganache;Buttercream;Yes;Nuts;Slice;Daily;Snack;No;None;Slice;1.00 €
Kid;15.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Fruits;Slice;Daily;Celebration;No;None;Slice;4.70 €
Adult;43.0;Feminine;Lemon;Lemon curd;Chocolate glaze;Yes;Nuts;Wedding cake;Monthly;Celebration;No;None;Wedding cake;64.20 €
Adult;47.0;Feminine;Red Velvet;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Daily;Gathering;Yes;Fall;Wedding cake;51.40 €
Kid;8.0;Masculine;Chocolate;Strawberry jam;Whipped cream;No;None;Cupcake;Weekly;Celebration;No;None;Cupcake;4.80 €
Adult;52.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;Yes;Edible flowers;Wedding cake;Sporadic;Celebration;No;None;Wedding cake;43.50 €
Adult;59.0;Feminine;Carrot;Dulce de leche;Ganache;Yes;Nuts;Whole cake;Monthly;Gathering;No;None;Whole cake;26.50 €
Adult;49.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Wedding cake;Daily;Work event;Yes;;Wedding cake;71.90 €
Adult;59.0;Masculine;Lemon;Lemon curd;Chocolate glaze;No;None;Whole cake;Sporadic;Work event;No;None;Whole cake;25.00 €
Kid;8.0;Masculine;Chocolate;Chocolate ganache;Buttercream;Yes;Edible flowers;Cupcake;Weekly;Snack;Yes;Christmas;Cupcake;1.40 €
Kid;8.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Sprinkles;Slice;Daily;Snack;No;None;Slice;3.70 €
Kid;7.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Cupcake;Weekly;Snack;Yes;Christmas;Cupcake;5.90 €
Adult;24.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Daily;Wedding;No;None;Slice;3.10 €
Adult;54.0;Masculine;Red Velvet;Cream cheese;Chocolate glaze;No;None;Wedding cake;Weekly;Work event;No;None;Wedding cake;64.30 €
Adult;43.0;Feminine;Carrot;Cream cheese;Chocolate glaze;Yes;Chocolate chips;Slice;Monthly;Work event;Yes;;Slice;3.40 €
Kid;16.0;Feminine;;Chocolate ganache;Whipped cream;No;None;Slice;Monthly;Celebration;No;None;Slice;2.60 €
Kid;10.0;Feminine;Chocolate;Chocolate ganache;Buttercream;Yes;Sprinkles;Slice;Weekly;Birthday;No;None;Slice;1.90 €
Adult;46.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Weekly;Gathering;No;None;Slice;2.60 €
Adult;46.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Gathering;Yes;Halloween;Whole cake;25.60 €
Adult;60.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Slice;Daily;Work event;No;None;Slice;4.80 €
Kid;14.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Sprinkles;Cupcake;Monthly;Snack;No;None;Cupcake;4.50 €
Adult;35.0;Masculine;Red Velvet;Cream cheese;Chocolate glaze;Yes;Edible flowers;Whole cake;Monthly;Celebration;No;None;Whole cake;15.20 €
Kid;11.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Nuts;Slice;Daily;Birthday;No;None;Slice;6.00 €
Adult;48.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;;None;Whole cake;Weekly;Work event;No;None;Whole cake;24.50 €
Adult;35.0;Masculine;Lemon;Lemon curd;Ganache;No;None;Slice;Daily;Wedding;No;None;Slice;4.20 €
Adult;45.0;Feminine;Carrot;Lemon curd;Ganache;No;None;Wedding cake;Sporadic;Work event;No;None;Wedding cake;59.50 €
Kid;13.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Slice;Sporadic;Birthday;No;None;Slice;3.60 €
Kid;8.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Slice;Weekly;Celebration;No;None;Slice;5.90 €
Kid;12.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;No;None;Cupcake;Daily;Celebration;No;None;Cupcake;3.40 €
Adult;65.0;Feminine;Red Velvet;Dulce de leche;Ganache;No;None;Wedding cake;Daily;Work event;No;None;Wedding cake;92.90 €
Kid;16.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Chocolate chips;Cupcake;Weekly;Celebration;No;None;Cupcake;2.60 €
Adult;64.0;Masculine;Red Velvet;Cream cheese;Ganache;No;None;Whole cake;Monthly;Wedding;No;None;Whole cake;15.90 €
Adult;29.0;Masculine;Lemon;Cream cheese;Chocolate glaze;Yes;Nuts;Wedding cake;Weekly;Wedding;No;None;Wedding cake;72.20 €
Adult;40.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Wedding cake;Weekly;Gathering;No;None;Wedding cake;60.60 €
Adult;58.0;Masculine;Carrot;Cream cheese;Ganache;No;None;Wedding cake;Daily;Celebration;No;None;Wedding cake;66.60 €
Adult;51.0;Feminine;Red Velvet;Cream cheese;Chocolate glaze;Yes;Nuts;Slice;Daily;Gathering;No;None;Slice;3.60 €
Kid;17.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;;None;Cupcake;Daily;Snack;No;None;Cupcake;2.30 €
Adult;19.0;Masculine;Red Velvet;Lemon curd;Cream cheese frosting;Yes;Fruits;Slice;Weekly;Wedding;No;None;Slice;5.60 €
Kid;12.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Chocolate chips;Cupcake;Daily;Birthday;Yes;Christmas;Cupcake;2.00 €
Adult;20.0;Masculine;Lemon;Cream cheese;Ganache;No;None;Whole cake;Daily;Gathering;No;None;Whole cake;27.80 €
Adult;18.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;Yes;Fruits;Wedding cake;Daily;Wedding;No;None;Wedding cake;48.90 €
Kid;9.0;Feminine;Red Velvet;Chocolate ganache;Buttercream;Yes;Chocolate chips;Slice;Daily;Birthday;No;None;Slice;1.10 €
Kid;5.0;Masculine;Chocolate;Strawberry jam;Whipped cream;Yes;Sprinkles;Cupcake;Montly;Snack;No;None;Cupcake;1.30 €
Adult;40.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Weekly;Celebration;Yes;Christmas;Whole cake;37.30 €
Adult;61.0;Feminine;Carrot;Cream cheese;Chocolate glaze;No;None;Wedding cake;Daily;Wedding;Yes;Halloween;Wedding cake;76.40 €
Adult;23.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;;None;Whole cake;Monthly;Wedding;No;None;Whole cake;35.20 €
Kid;14.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;No;None;Cupcake;Weekly;Snack;No;None;Cupcake;4.00 €
Adult;28.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;Yes;Sprinkles;Slice;Monthly;Celebration;No;None;Slice;3.40 €
Kid;13.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Sprinkles;Slice;Daily;Celebration;No;None;Slice;
Kid;9.0;Feminine;Chocolate;Chocolate ganache;Buttercream;Yes;Sprinkles;Slice;Daily;Snack;No;None;Slice;4.10 €
Kid;15.0;Feminine;Red Velvet;Chocolate ganache;Whipped cream;Yes;Edible flowers;Slice;Weekly;Celebration;No;None;Slice;2.20 €
Adult;999.0;Feminine;Lemon;Cream cheese;Ganache;Yes;Edible flowers;Wedding cake;Monthly;Gathering;Yes;Easter;Wedding cake;67.40 €
Kid;15.0;Feminine;Red Velvet;Strawberry jam;Chocolate glaze;Yes;Nuts;Cupcake;Daily;Birthday;No;None;Cupcake;4.90 €
Kid;8.0;Feminine;Chocolate;Chocolate ganache;Buttercream;No;None;Cupcake;Weekly;Celebration;No;None;Cupcake;1.20 €
Adult;26.0;Feminine;Lemon;Lemon curd;Cream cheese frosting;Yes;Fruits;Slice;Daily;Gathering;No;None;Slice;5.30 €
Adult;21.0;Feminine;Red Velvet;Cream cheese;Ganache;Yes;Edible flowers;Wedding cake;Daily;Work event;No;None;Wedding cake;69.80 €
Adult;26.0;Feminine;;Cream cheese;Ganache;No;None;Wedding cake;Daily;Gathering;Yes;Easter;Wedding cake;68.80 €
Adult;40.0;Masculine;Lemon;Cream cheese;Ganache;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;26.90 €
Kid;7.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Slice;Daily;Snack;No;None;Slice;5.70 €
Adult;33.0;Masculine;Lemon;Dulce de leche;Chocolate glaze;Yes;Fruits;Wedding cake;Weekly;Work event;No;None;Wedding cake;59.90 €
Adult;24.0;Feminine;Carrot;Cream cheese;Chocolate glaze;Yes;Edible flowers;Wedding cake;Weekly;Celebration;No;;Wedding cake;96.50 €
Kid;11.0;Feminine;Red Velvet;Strawberry jam;Buttercream;No;None;Cupcake;Spordic;Celebration;No;None;Cupcake;4.90 €
Adult;63.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;No;None;Whole cake;Monthly;Gathering;No;None;Whole cake;30.80 €
Kid;13.0;Masculine;Red Velvet;Strawberry jam;Buttercream;Yes;Nuts;Cupcake;Weekly;Snack;No;None;Cupcake;4.30 €
Kid;8.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Edible flowers;Slice;Sporadic;Celebration;No;None;Slice;4.10 €
Adult;23.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;Yes;Fruits;Slice;Weekly;Gathering;Yes;Halloween;Slice;4.30 €
Kid;11.0;Masculine;Chocolate;Chocolate ganache;Buttercream;No;None;Slice;Daily;Birthday;No;None;Slice;4.90 €
Adult;48.0;Feminine;Red Velvet;Lemon curd;Chocolate glaze;No;None;Wedding cake;Weekly;Wedding;No;None;Wedding cake;53.50 €
Adult;47.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Monthly;Gathering;Yes;Halloween;Whole cake;21.70 €
Adult;48.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Whole cake;Weekly;Celebration;Yes;Halloween;Whole cake;17.10 €
Kid;9.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Chocolate chips;Cupcake;Daily;Snack;No;None;Cupcake;3.60 €
Adult;48.0;Masculine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Slice;Daily;Celebration;No;None;Slice;3.50 €
Adult;33.0;Masculine;Carrot;Cream cheese;Ganache;No;None;Slice;Sporadic;Celebration;No;None;Slice;2.30 €
Adult;65.0;Masculine;Carrot;Dulce de leche;;Yes;Chocolate chips;Wedding cake;Monthly;Gathering;No;None;Wedding cake;95.60 €
Adult;35.0;Feminine;Lemon;Cream cheese;Chocolate glaze;Yes;Edible flowers;Whole cake;Weekly;Work event;Yes;Easter;Whole cake;35.80 €
Adult;28.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Edible flowers;Slice;Monthly;Work event;Yes;Fall;Slice;2.60 €
Kid;5.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Daily;Celebration;No;None;Cupcake;3.00 €
Adult;55.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;No;;Slice;Weekly;Wedding;No;None;Slice;2.30 €
Adult;21.0;Masculine;Red Velvet;Lemon curd;Cream cheese frosting;No;None;Wedding cake;Daily;Wedding;No;None;Wedding cake;74.00 €
Adult;36.0;Feminine;Carrot;Dulce de leche;Ganache;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;36.90 €
Kid;10.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Chocolate chips;Slice;Daily;Birthday;No;None;Slice;3.00 €
Kid;15.0;Feminine;Chocolate;Chocolate ganache;Buttercream;Yes;Chocolate chips;Slice;Weekly;Celebration;No;None;Slice;4.90 €
Adult;33.0;Feminine;Carrot;Dulce de leche;Ganache;No;None;Whole cake;Weekly;Celebration;No;;Whole cake;23.50 €
Kid;6.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Cupcake;Daily;Birthday;No;None;Cupcake;5.40 €
Adult;33.0;Feminine;Lemon;Lemon curd;Chocolate glaze;No;None;Slice;Weekly;Work event;No;None;Slice;4.00 €
Kid;8.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Daily;Celebration;No;None;Cupcake;5.80 €
Adult;54.0;Masculine;Red Velvet;Cream cheese;Ganache;Yes;Fruits;Wedding cake;Monthly;Wedding;No;None;Wedding cake;76.30 €
Adult;39.0;Feminine;Red Velvet;Lemon curd;Chocolate glaze;No;None;Whole cake;Monthly;Work event;No;None;Whole cake;10.40 €
Adult;24.0;Feminine;Carrot;Cream cheese;Chocolate glaze;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;28.20 €
Adult;50.0;Masculine;Lemon;Lemon curd;Cream cheese frosting;No;None;Slice;Weekly;Gathering;No;None;Slice;5.00 €
Adult;46.0;Masculine;Red Velvet;Dulce de leche;Cream cheese frosting;Yes;Nuts;Whole cake;Weekly;Celebration;No;None;Whole cake;20.20 €
Adult;27.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Sporadic;Celebration;No;None;Wedding cake;89.50 €
Adult;21.0;Feminine;Lemon;Cream cheese;Ganache;Yes;Fruits;Whole cake;Weekly;Celebration;Yes;Halloween;Whole cake;27.50 €
Adult;52.0;Masculine;Lemon;Dulce de leche;Ganache;Yes;Edible flowers;Wedding cake;Monthly;Gathering;No;None;Wedding cake;74.70 €
Adult;23.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Wedding cake;Weekly;Gathering;No;None;Wedding cake;45.30 €
Adult;61.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Wedding cake;Monthly;Wedding;No;None;Wedding cake;74.40 €
Adult;64.0;Masculine;Lemon;Dulce de leche;Chocolate glaze;No;None;Whole cake;Weekly;Wedding;No;None;Whole cake;30.20 €
Adult;46.0;Feminine;Red Velvet;Dulce de leche;Chocolate glaze;Yes;Sprinkles;Whole cake;Weekly;Wedding;Yes;Easter;Whole cake;20.70 €
Kid;17.0;Feminine;Red Velvet;Chocolate ganache;Buttercream;Yes;Fruits;Cupcake;Monthly;Snack;No;None;Cupcake;5.40 €
Adult;43.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Sporadic;Wedding;Yes;Easter;Whole cake;20.10 €
Adult;38.0;Masculine;Carrot;Cream cheese;Ganache;No;None;Slice;Daily;Wedding;Yes;Christmas;Slice;2.50 €
Adult;43.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Slice;Daily;Gathering;No;None;Slice;2.80 €
Adult;65.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Slice;Daily;Celebration;Yes;Easter;Slice;5.50 €
Adult;34.0;Feminine;Carrot;Lemon curd;Ganache;No;None;Wedding cake;Daily;Gathering;No;None;Wedding cake;46.80 €
Adult;18.0;Masculine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Weekly;Work event;No;None;Wedding cake;79.20 €
Adult;51.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Whole cake;Weekly;Work event;Yes;Easter;Whole cake;21.10 €
Adult;41.0;Feminine;Carrot;Lemon curd;Cream cheese frosting;No;None;Wedding cake;Daily;Work event;No;None;Wedding cake;48.40 €
Kid;16.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Fruits;Slice;Weekly;Celebration;No;None;Slice;2.00 €
Adult;27.0;Feminine;Red Velvet;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Weekly;Gathering;No;None;Wedding cake;99.60 €
Kid;17.0;Feminine;Chocolate;True;Chocolate glaze;Yes;Fruits;Cupcake;Weekly;Snack;Yes;Halloween;Cupcake;1.50 €
Kid;16.0;Feminine;Red Velvet;Chocolate ganache;Whipped cream;Yes;Nuts;Cupcake;Weekly;Snack;No;None;Cupcake;3.50 €
Adult;35.0;Masculine;Carrot;Cream cheese;Ganache;No;None;Whole cake;Monthly;Gathering;Yes;Easter;Whole cake;24.80 €
Adult;29.0;Feminine;Carrot;Lemon curd;Cream cheese frosting;No;None;Slice;Monthly;Gathering;Yes;Easter;Slice;2.60 €
Kid;5.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Edible flowers;Slice;Daily;Snack;Yes;Valentine's Day;Slice;3.30 €
Kid;15.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Daily;Snack;No;None;Cupcake;2.70 €
Kid;16.0;Masculine;;Chocolate ganache;Chocolate glaze;Yes;Fruits;Slice;Monthly;Celebration;Yes;Christmas;Slice;5.90 €
Kid;12.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Edible flowers;Slice;Weekly;Celebration;No;None;Slice;3.40 €
Adult;54.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Slice;Daily;Celebration;No;None;Slice;5.10 €
Adult;54.0;Masculine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Slice;Sporadic;Celebration;Yes;Christmas;Slice;2.60 €
Adult;29.0;Masculine;Red Velvet;Lemon curd;Cream cheese frosting;No;None;Slice;Weekly;Celebration;No;None;Slice;5.80 €
Kid;9.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Nuts;Cupcake;Weekly;Birthday;Yes;Valentine's Day;Cupcake;3.10 €
Adult;27.0;Feminine;Carrot;Cream cheese;Chocolate glaze;No;None;Wedding cake;Daily;Work event;No;None;Wedding cake;88.80 €
Adult;55.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Monthly;Celebration;Yes;Christmas;Whole cake;17.40 €
Adult;60.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Monthly;Celebration;No;None;Wedding cake;54.40 €
Adult;63.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Weekly;Gathering;No;None;Wedding cake;49.60 €
Kid;4.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;No;None;Slice;Daily;Snack;No;None;Slice;4.40 €
Kid;10.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Slice;Weekly;Birthday;Yes;Halloween;Slice;5.70 €
Adult;48.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Weekly;Celebration;No;None;Slice;5.00 €
Adult;34.0;Feminine;Carrot;Lemon curd;;No;None;Wedding cake;Daily;Gathering;Yes;Halloween;Wedding cake;63.70 €
Adult;30.0;Masculine;Lemon;Cream cheese;Chocolate glaze;No;None;Slice;Weekly;Work event;No;None;Slice;2.30 €
Kid;17.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Weekly;Snack;No;None;Cupcake;1.20 €
Adult;32.0;Masculine;Lemon;Lemon curd;Cream cheese frosting;No;None;Wedding cake;Sporadic;Wedding;No;None;Wedding cake;51.60 €
Adult;55.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;Yes;Edible flowers;Slice;Daily;Work event;No;None;Slice;4.20 €
Adult;32.0;Feminine;;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Weekly;Gathering;Yes;Fall;Whole cake;23.30 €
Kid;5.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Chocolate chips;Slice;Monthly;Celebration;No;None;Slice;3.10 €
Adult;51.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;34.50 €
Kid;12.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Slice;Weekly;Snack;Yes;Halloween;Slice;2.00 €
Adult;50.0;Masculine;Lemon;Lemon curd;Ganache;No;None;Wedding cake;Weekly;Celebration;No;None;Wedding cake;90.80 €
Adult;55.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Wedding cake;Sporadic;Gathering;No;None;Wedding cake;63.00 €
Kid;9.0;Masculine;;Chocolate ganache;Chocolate glaze;Yes;Sprinkles;Cupcake;Daily;Celebration;No;;Cupcake;2.50 €
Kid;17.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;No;None;Slice;Weekly;Celebration;No;None;Slice;4.20 €
Adult;28.0;Feminine;Red Velvet;Lemon curd;Cream cheese frosting;Yes;Edible flowers;Slice;Weekly;Work event;No;None;Slice;1.30 €
Kid;4.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Cupcake;Daily;Snack;Yes;Christmas;Cupcake;1.20 €
Kid;10.0;Masculine;Red Velvet;Strawberry jam;Chocolate glaze;Yes;Nuts;Cupcake;Sporadic;Birthday;No;None;Cupcake;4.20 €
Adult;34.0;Masculine;Lemon;Lemon curd;Cream cheese frosting;No;None;Slice;Weekly;Gathering;Yes;Valentine's Day;Slice;5.20 €
Adult;57.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;;Whole cake;Daily;Gathering;Yes;Easter;Whole cake;28.60 €
Adult;51.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Monthly;Work event;No;None;Whole cake;22.50 €
Adult;36.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Slice;Weekly;Celebration;Yes;Christmas;Slice;5.10 €
Adult;45.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;Yes;Nuts;Slice;Weekly;Wedding;No;None;Slice;4.40 €
Adult;39.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Monthly;Work event;Yes;Fall;Whole cake;23.20 €
Kid;13.0;Feminine;Red Velvet;Strawberry jam;Buttercream;Yes;Nuts;Cupcake;Weekly;Snack;No;None;Cupcake;3.20 €
Kid;9.0;Feminine;Chocolate;Chocolate ganache;Whipped cream;Yes;Sprinkles;Slice;Daily;Birthday;Yes;Halloween;Slice;5.20 €
Adult;40.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Whole cake;Monthly;Work event;No;None;Whole cake;34.00 €
Adult;24.0;Masculine;Red Velvet;ok;;No;None;Slice;Sporadic;Gathering;No;None;Slice;2.20 €
Kid;15.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Slice;Daily;Celebration;No;None;Slice;5.00 €
Kid;15.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Cupcake;Weekly;Celebration;Yes;Halloween;Cupcake;2.60 €
Adult;63.0;Masculine;Lemon;Lemon curd;Ganache;No;None;Slice;Weekly;Gathering;No;None;Slice;3.40 €
Adult;21.0;Masculine;Lemon;Lemon curd;Cream cheese frosting;;None;Whole cake;Sporadic;Celebration;No;None;Whole cake;16.40 €
Adult;58.0;Feminine;Carrot;Dulce de leche;Ganache;No;None;Wedding cake;Sporadic;Celebration;No;None;Wedding cake;45.80 €
